Year,Region,Value
2015,,100
2016,,107
2017,,98
2018,,109
2019,,113
2020,,174
2015,11_reg_Vinnytsya,100
2016,11_reg_Vinnytsya,93
2017,11_reg_Vinnytsya,100
2018,11_reg_Vinnytsya,60
2019,11_reg_Vinnytsya,140
2020,11_reg_Vinnytsya,140
2015,12_reg_Volyn,100
2016,12_reg_Volyn,131
2017,12_reg_Volyn,62
2018,12_reg_Volyn,77
2019,12_reg_Volyn,162
2020,12_reg_Volyn,146
2015,13_reg_Dnipropetrovsk,100
2016,13_reg_Dnipropetrovsk,100
2017,13_reg_Dnipropetrovsk,83
2018,13_reg_Dnipropetrovsk,100
2019,13_reg_Dnipropetrovsk,89
2020,13_reg_Dnipropetrovsk,100
2015,14_reg_Donetsk,100
2016,14_reg_Donetsk,81
2017,14_reg_Donetsk,86
2018,14_reg_Donetsk,103
2019,14_reg_Donetsk,58
2020,14_reg_Donetsk,106
2015,15_reg_Zhytomyr,100
2016,15_reg_Zhytomyr,138
2017,15_reg_Zhytomyr,100
2018,15_reg_Zhytomyr,188
2019,15_reg_Zhytomyr,175
2020,15_reg_Zhytomyr,288
2015,16_reg_Zakarpattya,100
2016,16_reg_Zakarpattya,150
2017,16_reg_Zakarpattya,225
2018,16_reg_Zakarpattya,100
2019,16_reg_Zakarpattya,100
2020,16_reg_Zakarpattya,475
2015,17_reg_Zaporizhya,100
2016,17_reg_Zaporizhya,108
2017,17_reg_Zaporizhya,117
2018,17_reg_Zaporizhya,117
2019,17_reg_Zaporizhya,100
2020,17_reg_Zaporizhya,292
2015,18_reg_Ivano-Frankivsk,100
2016,18_reg_Ivano-Frankivsk,110
2017,18_reg_Ivano-Frankivsk,100
2018,18_reg_Ivano-Frankivsk,130
2019,18_reg_Ivano-Frankivsk,180
2020,18_reg_Ivano-Frankivsk,220
2015,19_reg_Kyiv,100
2016,19_reg_Kyiv,109
2017,19_reg_Kyiv,87
2018,19_reg_Kyiv,83
2019,19_reg_Kyiv,57
2020,19_reg_Kyiv,143
2015,20_reg_Kirovohrad,100
2016,20_reg_Kirovohrad,188
2017,20_reg_Kirovohrad,75
2018,20_reg_Kirovohrad,63
2019,20_reg_Kirovohrad,113
2020,20_reg_Kirovohrad,175
2015,21_reg_Luhansk,100
2016,21_reg_Luhansk,100
2017,21_reg_Luhansk,11
2018,21_reg_Luhansk,44
2019,21_reg_Luhansk,56
2020,21_reg_Luhansk,156
2015,22_reg_Lviv,100
2016,22_reg_Lviv,100
2017,22_reg_Lviv,150
2018,22_reg_Lviv,123
2019,22_reg_Lviv,150
2020,22_reg_Lviv,195
2015,23_reg_Mykolayiv,100
2016,23_reg_Mykolayiv,250
2017,23_reg_Mykolayiv,250
2018,23_reg_Mykolayiv,325
2019,23_reg_Mykolayiv,450
2020,23_reg_Mykolayiv,625
2015,24_reg_Odesa,100
2016,24_reg_Odesa,100
2017,24_reg_Odesa,83
2018,24_reg_Odesa,111
2019,24_reg_Odesa,144
2020,24_reg_Odesa,139
2015,25_reg_Poltava,100
2016,25_reg_Poltava,89
2017,25_reg_Poltava,84
2018,25_reg_Poltava,100
2019,25_reg_Poltava,68
2020,25_reg_Poltava,163
2015,26_reg_Rivne,100
2016,26_reg_Rivne,500
2017,26_reg_Rivne,325
2018,26_reg_Rivne,375
2019,26_reg_Rivne,200
2020,26_reg_Rivne,525
2015,27_reg_Sumy,100
2016,27_reg_Sumy,136
2017,27_reg_Sumy,55
2018,27_reg_Sumy,18
2019,27_reg_Sumy,91
2020,27_reg_Sumy,109
2015,28_reg_Ternopil,100
2016,28_reg_Ternopil,80
2017,28_reg_Ternopil,80
2018,28_reg_Ternopil,130
2019,28_reg_Ternopil,150
2020,28_reg_Ternopil,150
2015,29_reg_Kharkiv,100
2016,29_reg_Kharkiv,115
2017,29_reg_Kharkiv,90
2018,29_reg_Kharkiv,50
2019,29_reg_Kharkiv,125
2020,29_reg_Kharkiv,205
2015,30_reg_Kherson,100
2016,30_reg_Kherson,89
2017,30_reg_Kherson,56
2018,30_reg_Kherson,100
2019,30_reg_Kherson,33
2020,30_reg_Kherson,133
2015,31_reg_Khmelnytskiy,100
2016,31_reg_Khmelnytskiy,81
2017,31_reg_Khmelnytskiy,75
2018,31_reg_Khmelnytskiy,69
2019,31_reg_Khmelnytskiy,69
2020,31_reg_Khmelnytskiy,119
2015,32_reg_Cherkasy,100
2016,32_reg_Cherkasy,113
2017,32_reg_Cherkasy,200
2018,32_reg_Cherkasy,150
2019,32_reg_Cherkasy,138
2020,32_reg_Cherkasy,238
2015,33_reg_Chernivtsi,100
2016,33_reg_Chernivtsi,100
2017,33_reg_Chernivtsi,50
2018,33_reg_Chernivtsi,50
2019,33_reg_Chernivtsi,75
2020,33_reg_Chernivtsi,200
2015,34_reg_Chernihiv,100
2016,34_reg_Chernihiv,108
2017,34_reg_Chernihiv,67
2018,34_reg_Chernihiv,100
2019,34_reg_Chernihiv,92
2020,34_reg_Chernihiv,183
2015,35_reg_Kyiv_city,100
2016,35_reg_Kyiv_city,66
2017,35_reg_Kyiv_city,141
2018,35_reg_Kyiv_city,224
2019,35_reg_Kyiv_city,179
2020,35_reg_Kyiv_city,231
