Year,Region,Value
2015,,100
2016,,104
2017,,101
2018,,97
2019,,91
2020,,85
2021,,80
2022,,69
2015,Vinnytsya,100
2016,Vinnytsya,109
2017,Vinnytsya,98
2018,Vinnytsya,122
2019,Vinnytsya,115
2020,Vinnytsya,90
2021,Vinnytsya,106
2022,Vinnytsya,82
2015,Volyn,100
2016,Volyn,92
2017,Volyn,87
2018,Volyn,90
2019,Volyn,98
2020,Volyn,65
2021,Volyn,78
2022,Volyn,55
2015,Dnipropetrovsk,100
2016,Dnipropetrovsk,119
2017,Dnipropetrovsk,116
2018,Dnipropetrovsk,99
2019,Dnipropetrovsk,100
2020,Dnipropetrovsk,71
2021,Dnipropetrovsk,72
2022,Dnipropetrovsk,68
2015,Donetsk,100
2016,Donetsk,99
2017,Donetsk,90
2018,Donetsk,84
2019,Donetsk,70
2020,Donetsk,61
2021,Donetsk,67
2022,Donetsk,40
2015,Zhytomyr,100
2016,Zhytomyr,126
2017,Zhytomyr,107
2018,Zhytomyr,111
2019,Zhytomyr,96
2020,Zhytomyr,76
2021,Zhytomyr,112
2022,Zhytomyr,100
2015,Zakarpattya,100
2016,Zakarpattya,95
2017,Zakarpattya,124
2018,Zakarpattya,138
2019,Zakarpattya,92
2020,Zakarpattya,95
2021,Zakarpattya,122
2022,Zakarpattya,84
2015,Zaporizhzhya,100
2016,Zaporizhzhya,104
2017,Zaporizhzhya,110
2018,Zaporizhzhya,104
2019,Zaporizhzhya,73
2020,Zaporizhzhya,69
2021,Zaporizhzhya,66
2022,Zaporizhzhya,55
2015,Ivano-Frankivsk,100
2016,Ivano-Frankivsk,77
2017,Ivano-Frankivsk,107
2018,Ivano-Frankivsk,117
2019,Ivano-Frankivsk,102
2020,Ivano-Frankivsk,93
2021,Ivano-Frankivsk,140
2022,Ivano-Frankivsk,87
2015,Kyiv,100
2016,Kyiv,54
2017,Kyiv,60
2018,Kyiv,50
2019,Kyiv,61
2020,Kyiv,101
2021,Kyiv,64
2022,Kyiv,82
2015,Kirovohrad,100
2016,Kirovohrad,145
2017,Kirovohrad,220
2018,Kirovohrad,169
2019,Kirovohrad,192
2020,Kirovohrad,192
2021,Kirovohrad,153
2022,Kirovohrad,147
2015,Luhansk,100
2016,Luhansk,122
2017,Luhansk,80
2018,Luhansk,116
2019,Luhansk,91
2020,Luhansk,103
2021,Luhansk,69
2022,Luhansk,14
2015,Lviv,100
2016,Lviv,95
2017,Lviv,99
2018,Lviv,81
2019,Lviv,79
2020,Lviv,64
2021,Lviv,63
2022,Lviv,72
2015,Mykolayiv,100
2016,Mykolayiv,130
2017,Mykolayiv,109
2018,Mykolayiv,132
2019,Mykolayiv,135
2020,Mykolayiv,86
2021,Mykolayiv,114
2022,Mykolayiv,168
2015,Odesa,100
2016,Odesa,100
2017,Odesa,106
2018,Odesa,104
2019,Odesa,109
2020,Odesa,100
2021,Odesa,85
2022,Odesa,80
2015,Poltava,100
2016,Poltava,97
2017,Poltava,90
2018,Poltava,83
2019,Poltava,86
2020,Poltava,89
2021,Poltava,90
2022,Poltava,87
2015,Rivne,100
2016,Rivne,127
2017,Rivne,113
2018,Rivne,113
2019,Rivne,79
2020,Rivne,84
2021,Rivne,72
2022,Rivne,80
2015,Sumy,100
2016,Sumy,90
2017,Sumy,85
2018,Sumy,68
2019,Sumy,95
2020,Sumy,73
2021,Sumy,67
2022,Sumy,82
2015,Ternopil,100
2016,Ternopil,88
2017,Ternopil,119
2018,Ternopil,142
2019,Ternopil,129
2020,Ternopil,115
2021,Ternopil,85
2022,Ternopil,71
2015,Kharkiv,100
2016,Kharkiv,129
2017,Kharkiv,99
2018,Kharkiv,107
2019,Kharkiv,99
2020,Kharkiv,199
2021,Kharkiv,67
2022,Kharkiv,46
2015,Kherson,100
2016,Kherson,96
2017,Kherson,107
2018,Kherson,110
2019,Kherson,95
2020,Kherson,110
2021,Kherson,86
2022,Kherson,34
2015,Khmelnytskiy,100
2016,Khmelnytskiy,124
2017,Khmelnytskiy,122
2018,Khmelnytskiy,121
2019,Khmelnytskiy,131
2020,Khmelnytskiy,117
2021,Khmelnytskiy,128
2022,Khmelnytskiy,90
2015,Cherkasy,100
2016,Cherkasy,77
2017,Cherkasy,82
2018,Cherkasy,82
2019,Cherkasy,74
2020,Cherkasy,68
2021,Cherkasy,78
2022,Cherkasy,73
2015,Chernivtsi,100
2016,Chernivtsi,120
2017,Chernivtsi,113
2018,Chernivtsi,120
2019,Chernivtsi,127
2020,Chernivtsi,120
2021,Chernivtsi,117
2022,Chernivtsi,117
2015,Chernihiv,100
2016,Chernihiv,105
2017,Chernihiv,99
2018,Chernihiv,98
2019,Chernihiv,94
2020,Chernihiv,69
2021,Chernihiv,85
2022,Chernihiv,77
2015,the city of Kyiv,100
2016,the city of Kyiv,105
2017,the city of Kyiv,106
2018,the city of Kyiv,91
2019,the city of Kyiv,86
2020,the city of Kyiv,106
2021,the city of Kyiv,74
2022,the city of Kyiv,78
